item_id,raw_name,drop_down_index,option_index,button_text,option_text,option_value,additional_options
835692,'Two Times' McCoy | TACP Cavalry,0,0,Applied Patches,All,,[]
33874,AK-47 | Blue Laminate (Minimal Wear),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
33874,AK-47 | Blue Laminate (Minimal Wear),3,3,Stickers,No stickers,empty,[]
33874,AK-47 | Blue Laminate (Minimal Wear),3,4,Stickers,Quad Combo,squad_combos,[]
33874,AK-47 | Blue Laminate (Minimal Wear),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
33874,AK-47 | Blue Laminate (Minimal Wear),3,6,Stickers,Customize,custom,[]
33874,AK-47 | Blue Laminate (Minimal Wear),4,0,Default,Default,default,[]
33874,AK-47 | Blue Laminate (Minimal Wear),4,1,Default,Latest,created.desc,[]
33874,AK-47 | Blue Laminate (Minimal Wear),4,2,Default,Hot,heat.desc,[]
33874,AK-47 | Blue Laminate (Minimal Wear),4,3,Default,Price,price.asc,[]
33874,AK-47 | Blue Laminate (Minimal Wear),4,4,Default,Price,price.desc,[]
33874,AK-47 | Blue Laminate (Minimal Wear),4,5,Default,Float,paintwear.asc,[]
33874,AK-47 | Blue Laminate (Minimal Wear),4,6,Default,Float,paintwear.desc,[]
33874,AK-47 | Blue Laminate (Minimal Wear),4,7,Default,Sticker,sticker.desc,[]
33874,AK-47 | Blue Laminate (Minimal Wear),4,8,Default,Time cost,seller.asc,[]
835687,'Blueberries' Buckshot | NSWC SEAL,0,0,Applied Patches,All,,[]
835687,'Blueberries' Buckshot | NSWC SEAL,0,1,Applied Patches,Patched,non_empty,[]
835687,'Blueberries' Buckshot | NSWC SEAL,0,2,Applied Patches,No Patch,empty,[]
835687,'Blueberries' Buckshot | NSWC SEAL,0,3,Applied Patches,Customize,custom,[]
835687,'Blueberries' Buckshot | NSWC SEAL,1,0,Default,Default,default,[]
835687,'Blueberries' Buckshot | NSWC SEAL,1,1,Default,Latest,created.desc,[]
835687,'Blueberries' Buckshot | NSWC SEAL,1,2,Default,Price,price.asc,[]
835687,'Blueberries' Buckshot | NSWC SEAL,1,3,Default,Price,price.desc,[]
835687,'Blueberries' Buckshot | NSWC SEAL,1,4,Default,Time cost,seller.asc,[]
872041,AK-47 | Green Laminate (Well-Worn),0,0,Float Range,All,,[]
872041,AK-47 | Green Laminate (Well-Worn),0,1,Float Range,0.38-0.39,0.38-0.39,[]
872041,AK-47 | Green Laminate (Well-Worn),0,2,Float Range,0.39-0.40,0.39-0.40,[]
872041,AK-47 | Green Laminate (Well-Worn),0,3,Float Range,Customize,,[]
872041,AK-47 | Green Laminate (Well-Worn),2,0,Name Tag,All,,[]
872041,AK-47 | Green Laminate (Well-Worn),2,1,Name Tag,Renamed,1,[]
872041,AK-47 | Green Laminate (Well-Worn),2,2,Name Tag,None,0,[]
872041,AK-47 | Green Laminate (Well-Worn),3,0,Stickers,All,,[]
872041,AK-47 | Green Laminate (Well-Worn),3,1,Stickers,With stickers,non_empty,[]
872041,AK-47 | Green Laminate (Well-Worn),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
872041,AK-47 | Green Laminate (Well-Worn),3,3,Stickers,No stickers,empty,[]
872041,AK-47 | Green Laminate (Well-Worn),3,4,Stickers,Quad Combo,squad_combos,[]
872041,AK-47 | Green Laminate (Well-Worn),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
872041,AK-47 | Green Laminate (Well-Worn),3,6,Stickers,Customize,custom,[]
872041,AK-47 | Green Laminate (Well-Worn),4,0,Default,Default,default,[]
872041,AK-47 | Green Laminate (Well-Worn),4,1,Default,Latest,created.desc,[]
872041,AK-47 | Green Laminate (Well-Worn),4,2,Default,Hot,heat.desc,[]
872041,AK-47 | Green Laminate (Well-Worn),4,3,Default,Price,price.asc,[]
872041,AK-47 | Green Laminate (Well-Worn),4,4,Default,Price,price.desc,[]
872041,AK-47 | Green Laminate (Well-Worn),4,5,Default,Float,paintwear.asc,[]
872041,AK-47 | Green Laminate (Well-Worn),4,6,Default,Float,paintwear.desc,[]
872041,AK-47 | Green Laminate (Well-Worn),4,7,Default,Sticker,sticker.desc,[]
872041,AK-47 | Green Laminate (Well-Worn),4,8,Default,Time cost,seller.asc,[]
33933,AK-47 | Jungle Spray (Well-Worn),0,0,Float Range,All,,[]
33933,AK-47 | Jungle Spray (Well-Worn),0,1,Float Range,0.38-0.39,0.38-0.39,[]
33933,AK-47 | Jungle Spray (Well-Worn),0,2,Float Range,0.39-0.40,0.39-0.40,[]
33933,AK-47 | Jungle Spray (Well-Worn),0,3,Float Range,0.40-0.41,0.40-0.41,[]
33933,AK-47 | Jungle Spray (Well-Worn),0,4,Float Range,0.41-0.42,0.41-0.42,[]
33933,AK-47 | Jungle Spray (Well-Worn),0,5,Float Range,0.42-0.45,0.42-0.45,[]
33933,AK-47 | Jungle Spray (Well-Worn),0,6,Float Range,Customize,,[]
33933,AK-47 | Jungle Spray (Well-Worn),2,0,Name Tag,All,,[]
33933,AK-47 | Jungle Spray (Well-Worn),2,1,Name Tag,Renamed,1,[]
33933,AK-47 | Jungle Spray (Well-Worn),2,2,Name Tag,None,0,[]
33933,AK-47 | Jungle Spray (Well-Worn),3,0,Stickers,All,,[]
33933,AK-47 | Jungle Spray (Well-Worn),3,1,Stickers,With stickers,non_empty,[]
33933,AK-47 | Jungle Spray (Well-Worn),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
33933,AK-47 | Jungle Spray (Well-Worn),3,3,Stickers,No stickers,empty,[]
33933,AK-47 | Jungle Spray (Well-Worn),3,4,Stickers,Quad Combo,squad_combos,[]
33933,AK-47 | Jungle Spray (Well-Worn),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
33933,AK-47 | Jungle Spray (Well-Worn),3,6,Stickers,Customize,custom,[]
33933,AK-47 | Jungle Spray (Well-Worn),4,0,Default,Default,default,[]
33933,AK-47 | Jungle Spray (Well-Worn),4,1,Default,Latest,created.desc,[]
33933,AK-47 | Jungle Spray (Well-Worn),4,2,Default,Hot,heat.desc,[]
33933,AK-47 | Jungle Spray (Well-Worn),4,3,Default,Price,price.asc,[]
33933,AK-47 | Jungle Spray (Well-Worn),4,4,Default,Price,price.desc,[]
33933,AK-47 | Jungle Spray (Well-Worn),4,5,Default,Float,paintwear.asc,[]
33933,AK-47 | Jungle Spray (Well-Worn),4,6,Default,Float,paintwear.desc,[]
33933,AK-47 | Jungle Spray (Well-Worn),4,7,Default,Sticker,sticker.desc,[]
33933,AK-47 | Jungle Spray (Well-Worn),4,8,Default,Time cost,seller.asc,[]
34086,AWP | Elite Build (Well-Worn),0,0,Float Range,All,,[]
34086,AWP | Elite Build (Well-Worn),0,1,Float Range,0.38-0.39,0.38-0.39,[]
34086,AWP | Elite Build (Well-Worn),0,2,Float Range,0.39-0.40,0.39-0.40,[]
34086,AWP | Elite Build (Well-Worn),0,3,Float Range,0.40-0.41,0.40-0.41,[]
34086,AWP | Elite Build (Well-Worn),0,4,Float Range,0.41-0.42,0.41-0.42,[]
34086,AWP | Elite Build (Well-Worn),0,5,Float Range,0.42-0.45,0.42-0.45,[]
34086,AWP | Elite Build (Well-Worn),0,6,Float Range,Customize,,[]
34086,AWP | Elite Build (Well-Worn),2,0,Name Tag,All,,[]
34086,AWP | Elite Build (Well-Worn),2,1,Name Tag,Renamed,1,[]
34086,AWP | Elite Build (Well-Worn),2,2,Name Tag,None,0,[]
34086,AWP | Elite Build (Well-Worn),3,0,Stickers,All,,[]
34086,AWP | Elite Build (Well-Worn),3,1,Stickers,With stickers,non_empty,[]
34086,AWP | Elite Build (Well-Worn),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
34086,AWP | Elite Build (Well-Worn),3,3,Stickers,No stickers,empty,[]
34086,AWP | Elite Build (Well-Worn),3,4,Stickers,Quad Combo,squad_combos,[]
34086,AWP | Elite Build (Well-Worn),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
34086,AWP | Elite Build (Well-Worn),3,6,Stickers,Customize,custom,[]
34086,AWP | Elite Build (Well-Worn),4,0,Default,Default,default,[]
34086,AWP | Elite Build (Well-Worn),4,1,Default,Latest,created.desc,[]
34086,AWP | Elite Build (Well-Worn),4,2,Default,Hot,heat.desc,[]
34086,AWP | Elite Build (Well-Worn),4,3,Default,Price,price.asc,[]
34086,AWP | Elite Build (Well-Worn),4,4,Default,Price,price.desc,[]
34086,AWP | Elite Build (Well-Worn),4,5,Default,Float,paintwear.asc,[]
34086,AWP | Elite Build (Well-Worn),4,6,Default,Float,paintwear.desc,[]
34086,AWP | Elite Build (Well-Worn),4,7,Default,Sticker,sticker.desc,[]
34086,AWP | Elite Build (Well-Worn),4,8,Default,Time cost,seller.asc,[]
33870,AK-47 | Bloodsport (Minimal Wear),0,0,Float Range,All,,[]
33870,AK-47 | Bloodsport (Minimal Wear),0,1,Float Range,0.07-0.08,0.07-0.08,[]
33870,AK-47 | Bloodsport (Minimal Wear),0,2,Float Range,0.08-0.09,0.08-0.09,[]
33870,AK-47 | Bloodsport (Minimal Wear),0,3,Float Range,0.09-0.10,0.09-0.10,[]
33870,AK-47 | Bloodsport (Minimal Wear),0,4,Float Range,0.10-0.11,0.10-0.11,[]
33870,AK-47 | Bloodsport (Minimal Wear),0,5,Float Range,0.11-0.15,0.11-0.15,[]
33870,AK-47 | Bloodsport (Minimal Wear),0,6,Float Range,Customize,,[]
33870,AK-47 | Bloodsport (Minimal Wear),2,0,Name Tag,All,,[]
33870,AK-47 | Bloodsport (Minimal Wear),2,1,Name Tag,Renamed,1,[]
33870,AK-47 | Bloodsport (Minimal Wear),2,2,Name Tag,None,0,[]
33870,AK-47 | Bloodsport (Minimal Wear),3,0,Stickers,All,,[]
33870,AK-47 | Bloodsport (Minimal Wear),3,1,Stickers,With stickers,non_empty,[]
33870,AK-47 | Bloodsport (Minimal Wear),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
33870,AK-47 | Bloodsport (Minimal Wear),3,3,Stickers,No stickers,empty,[]
33870,AK-47 | Bloodsport (Minimal Wear),3,4,Stickers,Quad Combo,squad_combos,[]
33870,AK-47 | Bloodsport (Minimal Wear),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
33870,AK-47 | Bloodsport (Minimal Wear),3,6,Stickers,Customize,custom,[]
33870,AK-47 | Bloodsport (Minimal Wear),4,0,Default,Default,default,[]
33870,AK-47 | Bloodsport (Minimal Wear),4,1,Default,Latest,created.desc,[]
33870,AK-47 | Bloodsport (Minimal Wear),4,2,Default,Hot,heat.desc,[]
33870,AK-47 | Bloodsport (Minimal Wear),4,3,Default,Price,price.asc,[]
33870,AK-47 | Bloodsport (Minimal Wear),4,4,Default,Price,price.desc,[]
33870,AK-47 | Bloodsport (Minimal Wear),4,5,Default,Float,paintwear.asc,[]
33870,AK-47 | Bloodsport (Minimal Wear),4,6,Default,Float,paintwear.desc,[]
33870,AK-47 | Bloodsport (Minimal Wear),4,7,Default,Sticker,sticker.desc,[]
33870,AK-47 | Bloodsport (Minimal Wear),4,8,Default,Time cost,seller.asc,[]
774706,3rd Commando Company | KSK,0,0,Applied Patches,All,,[]
774706,3rd Commando Company | KSK,0,1,Applied Patches,Patched,non_empty,[]
774706,3rd Commando Company | KSK,0,2,Applied Patches,No Patch,empty,[]
774706,3rd Commando Company | KSK,0,3,Applied Patches,Customize,custom,[]
774706,3rd Commando Company | KSK,1,0,Default,Default,default,[]
774706,3rd Commando Company | KSK,1,1,Default,Latest,created.desc,[]
774706,3rd Commando Company | KSK,1,2,Default,Price,price.asc,[]
774706,3rd Commando Company | KSK,1,3,Default,Price,price.desc,[]
774706,3rd Commando Company | KSK,1,4,Default,Time cost,seller.asc,[]
835471,AWP | Exoskeleton (Field-Tested),0,0,Float Range,All,,[]
835471,AWP | Exoskeleton (Field-Tested),0,1,Float Range,0.15-0.18,0.15-0.18,[]
835471,AWP | Exoskeleton (Field-Tested),0,2,Float Range,0.18-0.21,0.18-0.21,[]
835471,AWP | Exoskeleton (Field-Tested),0,3,Float Range,0.21-0.24,0.21-0.24,[]
835471,AWP | Exoskeleton (Field-Tested),0,4,Float Range,0.24-0.27,0.24-0.27,[]
835471,AWP | Exoskeleton (Field-Tested),0,5,Float Range,0.27-0.38,0.27-0.38,[]
835471,AWP | Exoskeleton (Field-Tested),0,6,Float Range,Customize,,[]
835471,AWP | Exoskeleton (Field-Tested),2,0,Name Tag,All,,[]
835471,AWP | Exoskeleton (Field-Tested),2,1,Name Tag,Renamed,1,[]
835471,AWP | Exoskeleton (Field-Tested),2,2,Name Tag,None,0,[]
835471,AWP | Exoskeleton (Field-Tested),3,0,Stickers,All,,[]
835471,AWP | Exoskeleton (Field-Tested),3,1,Stickers,With stickers,non_empty,[]
835471,AWP | Exoskeleton (Field-Tested),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
835471,AWP | Exoskeleton (Field-Tested),3,3,Stickers,No stickers,empty,[]
835471,AWP | Exoskeleton (Field-Tested),3,4,Stickers,Quad Combo,squad_combos,[]
835471,AWP | Exoskeleton (Field-Tested),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
835471,AWP | Exoskeleton (Field-Tested),3,6,Stickers,Customize,custom,[]
835471,AWP | Exoskeleton (Field-Tested),4,0,Default,Default,default,[]
835471,AWP | Exoskeleton (Field-Tested),4,1,Default,Latest,created.desc,[]
835471,AWP | Exoskeleton (Field-Tested),4,2,Default,Hot,heat.desc,[]
835471,AWP | Exoskeleton (Field-Tested),4,3,Default,Price,price.asc,[]
835471,AWP | Exoskeleton (Field-Tested),4,4,Default,Price,price.desc,[]
835471,AWP | Exoskeleton (Field-Tested),4,5,Default,Float,paintwear.asc,[]
835471,AWP | Exoskeleton (Field-Tested),4,6,Default,Float,paintwear.desc,[]
835471,AWP | Exoskeleton (Field-Tested),4,7,Default,Sticker,sticker.desc,[]
835471,AWP | Exoskeleton (Field-Tested),4,8,Default,Time cost,seller.asc,[]
835875,AK-47 | Panthera onca (Battle-Scarred),0,0,Float Range,All,,[]
835875,AK-47 | Panthera onca (Battle-Scarred),0,1,Float Range,0.45-0.50,0.45-0.50,[]
835875,AK-47 | Panthera onca (Battle-Scarred),0,2,Float Range,0.50-0.63,0.50-0.63,[]
835875,AK-47 | Panthera onca (Battle-Scarred),0,3,Float Range,0.63-0.76,0.63-0.76,[]
835875,AK-47 | Panthera onca (Battle-Scarred),0,4,Float Range,0.76-0.90,0.76-0.90,[]
835875,AK-47 | Panthera onca (Battle-Scarred),0,5,Float Range,0.90-1.00,0.90-1.00,[]
835875,AK-47 | Panthera onca (Battle-Scarred),0,6,Float Range,Customize,,[]
835875,AK-47 | Panthera onca (Battle-Scarred),2,0,Name Tag,All,,[]
835875,AK-47 | Panthera onca (Battle-Scarred),2,1,Name Tag,Renamed,1,[]
835875,AK-47 | Panthera onca (Battle-Scarred),2,2,Name Tag,None,0,[]
835875,AK-47 | Panthera onca (Battle-Scarred),3,0,Stickers,All,,[]
835875,AK-47 | Panthera onca (Battle-Scarred),3,1,Stickers,With stickers,non_empty,[]
835875,AK-47 | Panthera onca (Battle-Scarred),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
835875,AK-47 | Panthera onca (Battle-Scarred),3,3,Stickers,No stickers,empty,[]
835875,AK-47 | Panthera onca (Battle-Scarred),3,4,Stickers,Quad Combo,squad_combos,[]
835875,AK-47 | Panthera onca (Battle-Scarred),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
835875,AK-47 | Panthera onca (Battle-Scarred),3,6,Stickers,Customize,custom,[]
835875,AK-47 | Panthera onca (Battle-Scarred),4,0,Default,Default,default,[]
835875,AK-47 | Panthera onca (Battle-Scarred),4,1,Default,Latest,created.desc,[]
835875,AK-47 | Panthera onca (Battle-Scarred),4,2,Default,Hot,heat.desc,[]
835875,AK-47 | Panthera onca (Battle-Scarred),4,3,Default,Price,price.asc,[]
835875,AK-47 | Panthera onca (Battle-Scarred),4,4,Default,Price,price.desc,[]
835875,AK-47 | Panthera onca (Battle-Scarred),4,5,Default,Float,paintwear.asc,[]
835875,AK-47 | Panthera onca (Battle-Scarred),4,6,Default,Float,paintwear.desc,[]
835875,AK-47 | Panthera onca (Battle-Scarred),4,7,Default,Sticker,sticker.desc,[]
835875,AK-47 | Panthera onca (Battle-Scarred),4,8,Default,Time cost,seller.asc,[]
900529,AK-47 | Ice Coaled (Factory New),0,0,Float Range,All,,[]
900529,AK-47 | Ice Coaled (Factory New),0,1,Float Range,0.00-0.01,0.00-0.01,[]
900529,AK-47 | Ice Coaled (Factory New),0,2,Float Range,0.01-0.02,0.01-0.02,[]
900529,AK-47 | Ice Coaled (Factory New),0,3,Float Range,0.02-0.03,0.02-0.03,[]
900529,AK-47 | Ice Coaled (Factory New),0,4,Float Range,0.03-0.04,0.03-0.04,[]
900529,AK-47 | Ice Coaled (Factory New),0,5,Float Range,0.04-0.07,0.04-0.07,[]
900529,AK-47 | Ice Coaled (Factory New),0,6,Float Range,Customize,,[]
900529,AK-47 | Ice Coaled (Factory New),2,0,Name Tag,All,,[]
900529,AK-47 | Ice Coaled (Factory New),2,1,Name Tag,Renamed,1,[]
900529,AK-47 | Ice Coaled (Factory New),2,2,Name Tag,None,0,[]
900529,AK-47 | Ice Coaled (Factory New),3,0,Stickers,All,,[]
900529,AK-47 | Ice Coaled (Factory New),3,1,Stickers,With stickers,non_empty,[]
900529,AK-47 | Ice Coaled (Factory New),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
900529,AK-47 | Ice Coaled (Factory New),3,3,Stickers,No stickers,empty,[]
900529,AK-47 | Ice Coaled (Factory New),3,4,Stickers,Quad Combo,squad_combos,[]
900529,AK-47 | Ice Coaled (Factory New),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
900529,AK-47 | Ice Coaled (Factory New),3,6,Stickers,Customize,custom,[]
900529,AK-47 | Ice Coaled (Factory New),4,0,Default,Default,default,[]
900529,AK-47 | Ice Coaled (Factory New),4,1,Default,Latest,created.desc,[]
900529,AK-47 | Ice Coaled (Factory New),4,2,Default,Hot,heat.desc,[]
900529,AK-47 | Ice Coaled (Factory New),4,3,Default,Price,price.asc,[]
900529,AK-47 | Ice Coaled (Factory New),4,4,Default,Price,price.desc,[]
900529,AK-47 | Ice Coaled (Factory New),4,5,Default,Float,paintwear.asc,[]
900529,AK-47 | Ice Coaled (Factory New),4,6,Default,Float,paintwear.desc,[]
900529,AK-47 | Ice Coaled (Factory New),4,7,Default,Sticker,sticker.desc,[]
900529,AK-47 | Ice Coaled (Factory New),4,8,Default,Time cost,seller.asc,[]
900529,AK-47 | Ice Coaled (Factory New),5,0,Float Range,All,,[]
900529,AK-47 | Ice Coaled (Factory New),5,1,Float Range,0.00-0.01,0.00-0.01,[]
900529,AK-47 | Ice Coaled (Factory New),5,2,Float Range,0.01-0.02,0.01-0.02,[]
900529,AK-47 | Ice Coaled (Factory New),5,3,Float Range,0.02-0.03,0.02-0.03,[]
900529,AK-47 | Ice Coaled (Factory New),5,4,Float Range,0.03-0.04,0.03-0.04,[]
900529,AK-47 | Ice Coaled (Factory New),5,5,Float Range,0.04-0.07,0.04-0.07,[]
900529,AK-47 | Ice Coaled (Factory New),5,6,Float Range,Customize,,[]
34054,AUG | Torque (Factory New),0,0,Float Range,All,,[]
34054,AUG | Torque (Factory New),0,1,Float Range,0.00-0.01,0.00-0.01,[]
34054,AUG | Torque (Factory New),0,2,Float Range,0.01-0.02,0.01-0.02,[]
34054,AUG | Torque (Factory New),0,3,Float Range,0.02-0.03,0.02-0.03,[]
34054,AUG | Torque (Factory New),0,4,Float Range,0.03-0.04,0.03-0.04,[]
34054,AUG | Torque (Factory New),0,5,Float Range,0.04-0.07,0.04-0.07,[]
34054,AUG | Torque (Factory New),0,6,Float Range,Customize,,[]
34054,AUG | Torque (Factory New),2,0,Name Tag,All,,[]
34054,AUG | Torque (Factory New),2,1,Name Tag,Renamed,1,[]
34054,AUG | Torque (Factory New),2,2,Name Tag,None,0,[]
34054,AUG | Torque (Factory New),3,0,Stickers,All,,[]
34054,AUG | Torque (Factory New),3,1,Stickers,With stickers,non_empty,[]
34054,AUG | Torque (Factory New),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
34054,AUG | Torque (Factory New),3,3,Stickers,No stickers,empty,[]
34054,AUG | Torque (Factory New),3,4,Stickers,Quad Combo,squad_combos,[]
34054,AUG | Torque (Factory New),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
34054,AUG | Torque (Factory New),3,6,Stickers,Customize,custom,[]
34054,AUG | Torque (Factory New),4,0,Default,Default,default,[]
34054,AUG | Torque (Factory New),4,1,Default,Latest,created.desc,[]
34054,AUG | Torque (Factory New),4,2,Default,Hot,heat.desc,[]
34054,AUG | Torque (Factory New),4,3,Default,Price,price.asc,[]
34054,AUG | Torque (Factory New),4,4,Default,Price,price.desc,[]
34054,AUG | Torque (Factory New),4,5,Default,Float,paintwear.asc,[]
34054,AUG | Torque (Factory New),4,6,Default,Float,paintwear.desc,[]
34054,AUG | Torque (Factory New),4,7,Default,Sticker,sticker.desc,[]
34054,AUG | Torque (Factory New),4,8,Default,Time cost,seller.asc,[]
759234,AK-47 | Neon Rider (Minimal Wear),0,0,Float Range,All,,[]
759234,AK-47 | Neon Rider (Minimal Wear),0,1,Float Range,0.07-0.08,0.07-0.08,[]
759234,AK-47 | Neon Rider (Minimal Wear),0,2,Float Range,0.08-0.09,0.08-0.09,[]
759234,AK-47 | Neon Rider (Minimal Wear),0,3,Float Range,0.09-0.10,0.09-0.10,[]
759234,AK-47 | Neon Rider (Minimal Wear),0,4,Float Range,0.10-0.11,0.10-0.11,[]
759234,AK-47 | Neon Rider (Minimal Wear),0,5,Float Range,0.11-0.15,0.11-0.15,[]
759234,AK-47 | Neon Rider (Minimal Wear),0,6,Float Range,Customize,,[]
759234,AK-47 | Neon Rider (Minimal Wear),2,0,Name Tag,All,,[]
759234,AK-47 | Neon Rider (Minimal Wear),2,1,Name Tag,Renamed,1,[]
759234,AK-47 | Neon Rider (Minimal Wear),2,2,Name Tag,None,0,[]
759234,AK-47 | Neon Rider (Minimal Wear),3,0,Stickers,All,,[]
759234,AK-47 | Neon Rider (Minimal Wear),3,1,Stickers,With stickers,non_empty,[]
759234,AK-47 | Neon Rider (Minimal Wear),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
759234,AK-47 | Neon Rider (Minimal Wear),3,3,Stickers,No stickers,empty,[]
759234,AK-47 | Neon Rider (Minimal Wear),3,4,Stickers,Quad Combo,squad_combos,[]
759234,AK-47 | Neon Rider (Minimal Wear),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
759234,AK-47 | Neon Rider (Minimal Wear),3,6,Stickers,Customize,custom,[]
759234,AK-47 | Neon Rider (Minimal Wear),4,0,Default,Default,default,[]
759234,AK-47 | Neon Rider (Minimal Wear),4,1,Default,Latest,created.desc,[]
759234,AK-47 | Neon Rider (Minimal Wear),4,2,Default,Hot,heat.desc,[]
759234,AK-47 | Neon Rider (Minimal Wear),4,3,Default,Price,price.asc,[]
759234,AK-47 | Neon Rider (Minimal Wear),4,4,Default,Price,price.desc,[]
759234,AK-47 | Neon Rider (Minimal Wear),4,5,Default,Float,paintwear.asc,[]
759234,AK-47 | Neon Rider (Minimal Wear),4,6,Default,Float,paintwear.desc,[]
759234,AK-47 | Neon Rider (Minimal Wear),4,7,Default,Sticker,sticker.desc,[]
759234,AK-47 | Neon Rider (Minimal Wear),4,8,Default,Time cost,seller.asc,[]
34035,AUG | Radiation Hazard (Field-Tested),0,0,Float Range,All,,[]
34035,AUG | Radiation Hazard (Field-Tested),0,1,Float Range,0.15-0.18,0.15-0.18,[]
34035,AUG | Radiation Hazard (Field-Tested),0,2,Float Range,0.18-0.21,0.18-0.21,[]
34035,AUG | Radiation Hazard (Field-Tested),0,3,Float Range,0.21-0.24,0.21-0.24,[]
34035,AUG | Radiation Hazard (Field-Tested),0,4,Float Range,0.24-0.27,0.24-0.27,[]
34035,AUG | Radiation Hazard (Field-Tested),0,5,Float Range,0.27-0.38,0.27-0.38,[]
34035,AUG | Radiation Hazard (Field-Tested),0,6,Float Range,Customize,,[]
34035,AUG | Radiation Hazard (Field-Tested),2,0,Name Tag,All,,[]
34035,AUG | Radiation Hazard (Field-Tested),2,1,Name Tag,Renamed,1,[]
34035,AUG | Radiation Hazard (Field-Tested),2,2,Name Tag,None,0,[]
34035,AUG | Radiation Hazard (Field-Tested),3,0,Stickers,All,,[]
34035,AUG | Radiation Hazard (Field-Tested),3,1,Stickers,With stickers,non_empty,[]
34035,AUG | Radiation Hazard (Field-Tested),3,2,Stickers,With stickers (100%),non_empty_wearless,[]
34035,AUG | Radiation Hazard (Field-Tested),3,3,Stickers,No stickers,empty,[]
34035,AUG | Radiation Hazard (Field-Tested),3,4,Stickers,Quad Combo,squad_combos,[]
34035,AUG | Radiation Hazard (Field-Tested),3,5,Stickers,Quad Combo (100%),squad_combos_wearless,[]
34035,AUG | Radiation Hazard (Field-Tested),3,6,Stickers,Customize,custom,[]
34035,AUG | Radiation Hazard (Field-Tested),4,0,Default,Default,default,[]
34035,AUG | Radiation Hazard (Field-Tested),4,1,Default,Latest,created.desc,[]
34035,AUG | Radiation Hazard (Field-Tested),4,2,Default,Hot,heat.desc,[]
34035,AUG | Radiation Hazard (Field-Tested),4,3,Default,Price,price.asc,[]
34035,AUG | Radiation Hazard (Field-Tested),4,4,Default,Price,price.desc,[]
34035,AUG | Radiation Hazard (Field-Tested),4,5,Default,Float,paintwear.asc,[]
34035,AUG | Radiation Hazard (Field-Tested),4,6,Default,Float,paintwear.desc,[]
34035,AUG | Radiation Hazard (Field-Tested),4,7,Default,Sticker,sticker.desc,[]
